"Image Number","ROI","Image Layer","Total Flux [p/s]","Avg Radiance [p/s/cm²/sr]","Stdev Radiance","Min Radiance","Max Radiance"
SOK20190325110629_001,ROI 1,Overlay,3.256e+10,6.172e+07,1.880e+08,-1.379e+06,2.317e+09
SOK20190325110629_001,ROI 2,Overlay,6.958e+08,1.453e+06,6.184e+06,-1.627e+06,1.554e+08
SOK20190325110629_001,ROI 3,Overlay,1.905e+08,4.100e+05,3.573e+06,-2.750e+06,8.532e+07
SOK20190325110629_002,ROI 1,Overlay,4.013e+10,7.609e+07,2.261e+08,-1.078e+06,2.700e+09
SOK20190325110629_002,ROI 2,Overlay,9.216e+08,1.925e+06,7.030e+06,-2.193e+06,1.617e+08
SOK20190325110629_002,ROI 3,Overlay,2.427e+08,5.223e+05,4.642e+06,-1.544e+06,1.176e+08
SOK20190325110629_003,ROI 1,Overlay,4.359e+10,8.265e+07,2.435e+08,-6.859e+05,2.900e+09
SOK20190325110629_003,ROI 2,Overlay,1.189e+09,2.482e+06,7.595e+06,-1.636e+06,1.531e+08
SOK20190325110629_003,ROI 3,Overlay,3.093e+08,6.657e+05,5.362e+06,-2.010e+06,1.336e+08
SOK20190325110629_004,ROI 1,Overlay,4.694e+10,8.900e+07,2.660e+08,-1.214e+06,3.362e+09
SOK20190325110629_004,ROI 2,Overlay,1.275e+09,2.662e+06,7.990e+06,-1.527e+06,1.494e+08
SOK20190325110629_004,ROI 3,Overlay,3.250e+08,6.996e+05,5.858e+06,-1.418e+06,1.186e+08
SOK20190325110629_005,ROI 1,Overlay,4.868e+10,9.230e+07,2.740e+08,-1.529e+06,3.395e+09
SOK20190325110629_005,ROI 2,Overlay,1.343e+09,2.805e+06,8.007e+06,-1.596e+06,1.411e+08
SOK20190325110629_005,ROI 3,Overlay,3.654e+08,7.866e+05,6.203e+06,-1.450e+06,1.267e+08
SOK20190325110629_006,ROI 1,Overlay,5.046e+10,9.566e+07,2.884e+08,-1.083e+06,3.651e+09
SOK20190325110629_006,ROI 2,Overlay,1.385e+09,2.893e+06,7.988e+06,-1.733e+06,1.344e+08
SOK20190325110629_006,ROI 3,Overlay,3.937e+08,8.475e+05,6.805e+06,-1.880e+06,1.297e+08
SOK20190325110629_007,ROI 1,Overlay,5.170e+10,9.801e+07,2.935e+08,-1.166e+06,3.713e+09
SOK20190325110629_007,ROI 2,Overlay,1.383e+09,2.888e+06,7.947e+06,-1.555e+06,1.331e+08
SOK20190325110629_007,ROI 3,Overlay,4.467e+08,9.615e+05,7.741e+06,-1.439e+06,2.001e+08
SOK20190325110629_008,ROI 1,Overlay,5.366e+10,1.017e+08,3.085e+08,-9.698e+05,3.923e+09
SOK20190325110629_008,ROI 2,Overlay,1.476e+09,3.083e+06,8.395e+06,-2.066e+06,1.163e+08
SOK20190325110629_008,ROI 3,Overlay,4.892e+08,1.053e+06,8.515e+06,-1.799e+06,2.145e+08
SOK20190325110629_009,ROI 1,Overlay,5.437e+10,1.031e+08,3.165e+08,-1.070e+06,4.033e+09
SOK20190325110629_009,ROI 2,Overlay,1.480e+09,3.092e+06,8.513e+06,-1.727e+06,1.068e+08
SOK20190325110629_009,ROI 3,Overlay,4.840e+08,1.042e+06,8.567e+06,-1.709e+06,2.398e+08
SOK20190325110629_010,ROI 1,Overlay,5.478e+10,1.038e+08,3.177e+08,-7.629e+05,4.026e+09
SOK20190325110629_010,ROI 2,Overlay,1.538e+09,3.211e+06,8.765e+06,-1.624e+06,1.046e+08
SOK20190325110629_010,ROI 3,Overlay,5.046e+08,1.086e+06,9.077e+06,-1.542e+06,2.523e+08
SOK20190325110629_011,ROI 1,Overlay,5.486e+10,1.040e+08,3.193e+08,-7.060e+05,4.069e+09
SOK20190325110629_011,ROI 2,Overlay,1.523e+09,3.181e+06,8.497e+06,-1.310e+06,1.097e+08
SOK20190325110629_011,ROI 3,Overlay,5.094e+08,1.096e+06,9.184e+06,-1.451e+06,2.609e+08
SOK20190325110629_012,ROI 1,Overlay,5.421e+10,1.028e+08,3.174e+08,-9.753e+05,4.053e+09
SOK20190325110629_012,ROI 2,Overlay,1.504e+09,3.140e+06,8.148e+06,-1.569e+06,1.021e+08
SOK20190325110629_012,ROI 3,Overlay,5.298e+08,1.140e+06,9.245e+06,-2.087e+06,2.529e+08
SOK20190325110629_013,ROI 1,Overlay,5.301e+10,1.005e+08,3.122e+08,-9.728e+05,4.101e+09
SOK20190325110629_013,ROI 2,Overlay,1.555e+09,3.248e+06,8.603e+06,-1.208e+06,1.153e+08
SOK20190325110629_013,ROI 3,Overlay,5.187e+08,1.116e+06,9.160e+06,-1.548e+06,2.640e+08
